,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
334,Kennesaw St.,ASun,3-5,Texas Southern2007,Grambling St.2006,Florida A&M2013,None,0,0.0
335,Tarleton St.,WAC,2-2,Southeast Missouri St.2016,Houston Baptist2012,Gardner Webb2010,None,0,0.0
336,Alcorn St.,SWAC,0-5,Nebraska Omaha2012,Longwood2013,Incarnate Word2018,None,0,0.0
337,Delaware St.,MEAC,0-5,Houston Baptist2010,Southern2002,Morgan St.2019,None,0,0.0
338,Howard,MEAC,1-4,Alabama St.2018,Southeast Missouri St.2009,Lipscomb2003,None,0,0.0
339,Tennessee Martin,OVC,2-3,Alcorn St.2018,Bethune Cookman2017,Grambling St.2008,None,0,0.0
340,Holy Cross,Pat,0-0,Houston Baptist2014,Maryland Eastern Shore2011,Alcorn St.2007,None,0,0.0
341,Presbyterian,BSth,2-3,UMBC2012,Maryland Eastern Shore2011,Loyola Marymount2008,None,0,0.0
342,Houston Baptist,Slnd,1-7,Maine2014,Southern2002,Jacksonville2006,None,0,0.0
343,Chicago St.,WAC,0-9,Mississippi Valley St.2018,Alabama St.2017,Mississippi Valley St.2019,None,0,0.0
344,Alabama St.,SWAC,0-0,Florida A&M2016,Southern2010,Lamar2013,None,0,0.0
345,South Carolina St.,MEAC,0-10,Longwood2005,Delaware St.2019,Prairie View A&M2006,None,0,0.0
346,Mississippi Valley St.,SWAC,0-8,Prairie View A&M2006,Alcorn St.2010,Chicago St.2011,None,0,0.0
