Label,Year,Team,Conference,Wins,Losses,Seed,Outcome
Pittsburgh2004,2004,Pittsburgh,BE,31,5,3.0,S16
Wisconsin2004,2004,Wisconsin,B10,25,7,6.0,R32
Gonzaga2004,2004,Gonzaga,WCC,28,3,2.0,R32
Georgia Tech2004,2004,Georgia Tech,ACC,28,10,3.0,C2
North Carolina St.2004,2004,North Carolina St.,ACC,21,10,3.0,R32
Kentucky2004,2004,Kentucky,SEC,27,5,1.0,R32
North Carolina2004,2004,North Carolina,ACC,19,11,6.0,R32
Stanford2004,2004,Stanford,P10,30,2,1.0,R32
Illinois2004,2004,Illinois,B10,26,7,5.0,S16
Mississippi St.2004,2004,Mississippi St.,SEC,26,4,2.0,R32
Wake Forest2004,2004,Wake Forest,ACC,21,10,4.0,S16
Cincinnati2004,2004,Cincinnati,CUSA,25,7,4.0,R32
Texas2004,2004,Texas,B12,25,8,3.0,S16
Kansas2004,2004,Kansas,B12,24,9,4.0,E8
Louisville2004,2004,Louisville,CUSA,20,10,10.0,R64
Nevada2004,2004,Nevada,WAC,25,9,10.0,S16
Xavier2004,2004,Xavier,A10,26,11,7.0,E8
Maryland2004,2004,Maryland,ACC,20,12,4.0,R32
Vanderbilt2004,2004,Vanderbilt,SEC,23,10,6.0,S16
Providence2004,2004,Providence,BE,20,9,5.0,R64
Florida2004,2004,Florida,SEC,20,11,5.0,R64
Florida St.2004,2004,Florida St.,ACC,19,14,17.0,None
Seton Hall2004,2004,Seton Hall,BE,21,10,8.0,R32
Texas Tech2004,2004,Texas Tech,B12,23,11,8.0,R32
Alabama2004,2004,Alabama,SEC,20,13,8.0,E8
Syracuse2004,2004,Syracuse,BE,23,8,5.0,S16
Western Michigan2004,2004,Western Michigan,MAC,26,5,11.0,R64
Arizona2004,2004,Arizona,P10,20,10,9.0,R64
Memphis2004,2004,Memphis,CUSA,22,8,7.0,R32
Michigan St.2004,2004,Michigan St.,B10,18,12,7.0,R64
BYU2004,2004,BYU,MWC,21,9,12.0,R64
Air Force2004,2004,Air Force,MWC,22,7,11.0,R64
Boston College2004,2004,Boston College,BE,24,10,6.0,R32
Richmond2004,2004,Richmond,A10,20,13,11.0,R64
South Carolina2004,2004,South Carolina,SEC,23,11,10.0,R64
Nebraska2004,2004,Nebraska,B12,18,13,17.0,None
UTEP2004,2004,UTEP,WAC,24,8,13.0,R64
Southern Illinois2004,2004,Southern Illinois,MVC,25,5,9.0,R64
Charlotte2004,2004,Charlotte,CUSA,21,9,9.0,R64
Michigan2004,2004,Michigan,B10,23,11,17.0,None
Utah2004,2004,Utah,MWC,24,9,11.0,R64
UAB2004,2004,UAB,CUSA,22,10,9.0,S16
Utah St.2004,2004,Utah St.,BW,25,4,17.0,None
Manhattan2004,2004,Manhattan,MAAC,25,6,12.0,R32
Boise St.2004,2004,Boise St.,WAC,23,10,17.0,None
George Washington2004,2004,George Washington,A10,18,12,17.0,None
Missouri2004,2004,Missouri,B12,16,14,17.0,None
Notre Dame2004,2004,Notre Dame,BE,19,13,17.0,None
Villanova2004,2004,Villanova,BE,18,17,17.0,None
Colorado2004,2004,Colorado,B12,18,11,17.0,None
Wichita St.2004,2004,Wichita St.,MVC,21,11,17.0,None
Oklahoma2004,2004,Oklahoma,B12,20,11,17.0,None
Purdue2004,2004,Purdue,B10,17,14,17.0,None
DePaul2004,2004,DePaul,CUSA,22,10,7.0,R32
Saint Mary's2004,2004,Saint Mary's,WCC,19,12,17.0,None
Washington2004,2004,Washington,P10,19,12,8.0,R64
Murray St.2004,2004,Murray St.,OVC,28,6,12.0,R64
Milwaukee2004,2004,Milwaukee,Horz,20,11,17.0,None
