,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
142,Cal St. Bakersfield,BW,8-4,Saint Joseph's2015,Georgia Southern2015,UNC Wilmington2005,15.0,16,0.07647538681864888
143,Monmouth,MAAC,6-4,East Tennessee St.2003,Lipscomb2018,Wyoming2017,14.54,15,0.12705128251193454
144,Stephen F. Austin,Slnd,6-2,Bradley2005,Boise St.2010,UAB2013,15.0,15,0.05374521532959557
145,Cleveland St.,Horz,9-3,Morgan St.2008,Arkansas Little Rock2009,Middle Tennessee2010,14.98,15,0.09168072569119268
146,UC Santa Barbara,BW,7-3,Arizona St.2006,Portland2005,Oregon St.2006,15.41,15,0.040058800764968705
147,North Dakota St.,Sum,7-6,Southern Illinois2009,George Washington2011,UCLA2004,15.35,15,0.040187735754857325
148,Ball St.,MAC,5-5,Brown2014,Iona2003,Vermont2008,15.26,15,0.06769024016716252
149,UNC Greensboro,SC,7-5,Wyoming2006,New Orleans2002,Delaware2004,15.4,16,0.07036921091264577
150,Eastern Kentucky,OVC,11-2,East Tennessee St.2003,Georgia Southern2005,Utah Valley2017,14.66,15,0.0851685642049505
151,Coastal Carolina,SB,9-2,Bucknell2019,Cal St. Fullerton2018,Northern Arizona2006,14.91,15,0.11648733552297366
152,Montana,BSky,6-6,Southern Miss2002,Rider2013,Manhattan2009,15.56,16,0.10011194185999522
153,Murray St.,OVC,4-6,Tennessee St.2017,Siena2002,Mount St. Mary's2008,15.64,16,0.18368393485846607
154,Drexel,CAA,5-4,San Francisco2006,Valparaiso2014,Albany2005,15.78,16,0.0683892892869356
155,Little Rock,SB,7-5,Arkansas St.2004,DePaul2016,Milwaukee2014,15.27,15,0.1194320491227274
156,UMBC,AE,9-2,Rider2002,Western Carolina2011,Eastern Washington2002,15.46,16,0.08856753325900873
157,Old Dominion,CUSA,7-4,Delaware2002,Furman2004,UNC Greensboro2007,15.61,16,0.11683003702078648
158,Oral Roberts,Sum,7-6,Marshall2002,Troy2009,Lamar2008,15.0,15,0.06737858788942054
159,California,P12,6-8,Buffalo2013,Chattanooga2015,Jacksonville St.2017,15.3,15,0.04878485157942036
160,South Dakota,Sum,6-6,Belmont2003,North Texas2010,Loyola Marymount2017,15.21,15,0.1136726444639791
161,East Tennessee St.,SC,6-4,East Carolina2017,Hofstra2009,Bradley2004,15.76,16,0.12900138481953644
162,Saint Joseph's,A10,1-9,Saint Peter's2005,Nebraska Omaha2014,New Mexico2019,14.5,14,0.06156233701944845
163,UNC Wilmington,CAA,6-3,Rider2010,Oregon2009,Charlotte2014,15.33,15,0.13193349609168326
164,San Diego,WCC,1-4,Eastern Washington2002,Delaware2003,Rider2002,15.59,16,0.07426844121739681
165,Hofstra,CAA,6-6,Indiana2010,Fresno St.2005,Oregon St.2004,15.42,15,0.09490572400996185
166,Oregon St.,P12,5-5,Yale2007,Southern Illinois2017,Winthrop2015,15.73,16,0.06085777816906113
167,Mercer,SC,7-4,TCU2003,Fairfield2016,Ball St.2003,15.03,16,0.025769748765167987
168,Saint Peter's,MAAC,6-5,Hofstra2009,East Carolina2017,TCU2007,15.77,16,0.129843922621255
169,Texas St.,SB,8-4,Mississippi Valley St.2004,James Madison2013,Holy Cross2009,15.85,16,0.07252230453490077
170,Temple,Amer,2-3,Milwaukee2008,Tulsa2013,Chattanooga2005,15.66,16,0.18598143516474042
171,Lafayette,Pat,3-1,Rutgers2014,Cal Baptist2019,Oakland2019,15.78,16,0.06322554563202508
172,Akron,MAC,4-3,Cal Poly2002,Fresno St.2005,Marshall2004,15.62,16,0.06260987177733829
173,La Salle,A10,5-7,Bradley2004,East Carolina2017,Jacksonville2011,15.7,16,0.11032583694646571
174,Western Carolina,SC,7-3,Ball St.2003,Fairfield2016,TCU2003,15.06,16,0.029199257707498774
175,Southern Illinois,MVC,7-3,Youngstown St.2013,George Mason2016,Toledo2013,15.27,15,0.05464792101736447
176,Navy,Pat,7-1,Wright St.2004,New Orleans2005,Albany2008,15.77,16,0.09221817949678406
177,Charlotte,CUSA,5-6,LSU2010,Gardner Webb2013,UT Arlington2003,16.0,16,0.02820937385438054
178,Chattanooga,SC,11-3,UAB2017,North Texas2018,East Carolina2016,15.47,15,0.07213395641580941
179,Washington,P12,1-10,Ohio2019,IUPUI2002,Delaware2003,15.62,16,0.07408363129866019
180,UT Arlington,SB,7-6,Ball St.2018,Drexel2002,Oakland2004,15.16,15,0.08650488309620089
181,Rice,CUSA,10-3,Morehead St.2002,Sacred Heart2009,Western Michigan2016,15.51,16,0.02801842914886362
182,Tulane,Amer,6-3,Boise St.2002,Texas A&M Corpus Chris2010,East Carolina2003,15.55,16,0.07985843152051823
183,FIU,CUSA,8-5,Yale2018,Valparaiso2006,Charleston Southern2012,15.35,16,0.14175300516568629
184,Eastern Michigan,MAC,4-4,Santa Clara2019,Youngstown St.2007,New Hampshire2017,16.0,16,0.013701539833808195
185,Miami OH,MAC,4-4,North Florida2012,Wake Forest2012,North Dakota St.2006,15.48,15,0.045621078221809934
186,Jacksonville St.,OVC,8-4,Boise St.2002,Massachusetts2003,Middle Tennessee2011,15.76,16,0.06446432178775004
187,Milwaukee,Horz,5-3,FIU2013,Hawaii2018,Cal St. Northridge2004,15.8,16,0.06406884342410205
188,Hawaii,BW,3-2,La Salle2019,Wyoming2008,Tennessee Tech2007,15.69,16,0.05999485614675641
189,Louisiana Lafayette,SB,8-4,DePaul2002,Buffalo2007,North Dakota2016,15.0,15,0.023613951211307202
190,Valparaiso,MVC,3-7,Buffalo2002,Evansville2006,Austin Peay2002,16.0,16,0.099018594316408
191,Southern Utah,BSky,9-2,IUPUI2019,Jacksonville St.2003,Vermont2002,16.0,16,0.03441199417478545
192,Sam Houston St.,Slnd,10-5,North Dakota2016,DePaul2002,Buffalo2007,15.0,15,0.018590124981646503
193,Gardner Webb,BSth,3-8,Mississippi St.2014,McNeese St.2003,Texas A&M Corpus Chris2016,15.64,16,0.07736858890108986
194,George Washington,A10,3-8,Colorado St.2018,Appalachian St.2018,Tennessee St.2005,16.0,16,0.05401739610912139
195,Detroit,Horz,2-7,Lamar2019,Jacksonville St.2003,Southeast Missouri St.2013,16.0,16,0.02883200064893976
